地区,年份,年末常住人口万人,民用汽车拥有量万辆,公路客运量万人,交通事故直接财产损失总计万元,交通事故受伤人数总计人,交通事故死亡人数总计人,交通事故发生数总计起
山东省,2019,10106,2333.73,49581,5429.2,12190,3553,13150
河南省,2019,9901,1612.09,91281,10266.4,19034,2560,17462
湖北省,2019,5927,861.06,69584,13978.8,26015,4904,23168
湖南省,2019,6640,870.59,84162,3678.9,4067,898,3724
广东省,2019,12489,2326.38,101012,7547.5,21935,4932,23017
广西壮族自治区,2019,4982,673.94,34539,7739,23021,4379,20053
海南省,2019,995,137.24,9366,1821.7,3148,771,2675
重庆市,2019,3188,461.6,50990,1603.4,4776,945,4251
四川省,2019,8351,1196.95,72387,8369.7,11335,2476,9662
贵州省,2019,3848,532.15,84255,9256.1,16399,2921,13437
云南省,2019,4714,742.09,30681,3477,6249,2718,6663
西藏自治区,2019,361,55.88,1020,595.6,569,137,468
陕西省,2019,3944,675.96,59015,4000,5800,1258,5686
甘肃省,2019,2509,343.3,36085,821.8,2988,1194,2909
青海省,2019,590,119.61,5071,1027.5,1525,530,1461
宁夏回族自治区,2019,717,157.91,4905,558.3,1549,407,1544
新疆维吾尔自治区,2019,2559,436.13,15726,936.7,5211,1565,5173
北京市,2018,2192,574.04,44577,3517.1,2800,1288,3242
天津市,2018,1383,298.65,12259,4041.7,6551,750,6223
河北省,2018,7426,1529.98,35133,4838,4303,2494,4923
山西省,2018,3502,652.15,15719,5092.4,8022,2102,7636
内蒙古自治区,2018,2422,531.91,7823,3116.3,4614,1003,4230
辽宁省,2018,4291,796.37,56355,1909.5,4260,1860,4554
吉林省,2018,2484,421.92,23372,3530.8,5593,1191,4895
黑龙江省,2018,3327,477.41,20739,5432.7,5606,1289,5119
上海市,2018,2475,393.37,3151,501.1,242,647,741
江苏省,2018,8446,1776.57,97025,6442.4,11300,4490,12978
浙江省,2018,6273,1532.95,72013,4858,11410,3561,12565
安徽省,2018,6076,814.2,50770,5418.7,11936,2626,10928
福建省,2018,4104,622.82,34081,2109.9,10207,1809,9668
江西省,2018,4513,537.55,49302,5937,7668,2015,6925
山东省,2018,10077,2128.29,50044,5572.6,12332,3600,13226
河南省,2018,9864,1449.68,93707,10938.1,21638,2670,19059
湖北省,2018,5917,772.4,80990,13224.2,21218,4837,19207
湖南省,2018,6635,780.96,91007,5522.8,5398,1124,4618
广东省,2018,12348,2116.28,105249,7865.8,24025,4917,24133
广西壮族自治区,2018,4947,588.42,36134,6038.1,19314,4459,17034
海南省,2018,982,126.9,9637,1770.9,3145,839,2684
重庆市,2018,3163,419.1,52150,1867.4,5268,915,4511
四川省,2018,8321,1098.17,81462,7664.6,10427,2351,8804
贵州省,2018,3822,478.98,84053,9327.1,15752,2327,12199
云南省,2018,4703,677.5,34642,2930.7,5931,2755,6067
西藏自治区,2018,354,51.45,1047,243.5,495,124,363
陕西省,2018,3931,616.8,60269,4685.9,6196,1501,6122
甘肃省,2018,2515,315.07,36634,972.7,3243,1270,3086
青海省,2018,587,109.87,5092,1167.6,1302,508,1281
宁夏回族自治区,2018,710,144.78,5342,680.8,1735,408,1735
新疆维吾尔自治区,2018,2520,396.7,17394,1237.5,6601,1464,6181
北京市,2017,2194,563.1,44940,3149.5,2803,1378,3223
天津市,2017,1410,287.69,12538,4532.8,5542,813,5564
河北省,2017,7409,1387.21,38494,4694.8,4427,2496,4848
山西省,2017,3510,591.98,17333,3683.6,4934,2125,4988
内蒙古自治区,2017,2433,480.22,9421,1639.1,3480,1014,3385
辽宁省,2017,4312,727.08,57665,1838,4335,1971,4793
吉林省,2017,2526,387.15,25203,4562.5,5556,2013,5485
黑龙江省,2017,3399,435.32,23917,3782.1,3839,1137,3623
上海市,2017,2466,360.96,3420,362.8,221,676,709
江苏省,2017,8423,1612.82,104566,5818.9,11595,4567,13226
浙江省,2017,6170,1395.8,80099,4773.2,12160,3837,12782
安徽省,2017,6057,708.93,57365,5541.9,12806,2692,11506
福建省,2017,4065,557.01,37585,2351.9,9334,1879,8693
江西省,2017,4511,465.9,52506,5093.8,5797,2122,5356
山东省,2017,10033,1929.55,49111,6183.3,12595,3665,13403
河南省,2017,9829,1274.45,98753,4556,6123,2076,6361
湖北省,2017,5904,679.81,86772,9484.6,11070,4775,11661
湖南省,2017,6633,683.19,100390,5227.4,6658,1156,5459
广东省,2017,12141,1894.22,105919,10412.8,24477,5345,23900
广西壮族自治区,2017,4907,502.13,38083,1908.4,3660,2247,3843
海南省,2017,972,113.21,10107,1236.3,2479,674,2022
重庆市,2017,3144,370.47,53307,1813.2,5909,947,4573
四川省,2017,8289,990.3,94098,4960.2,7481,2166,6947
贵州省,2017,3803,414.01,83809,11994.8,19360,3472,14711
云南省,2017,4693,622.66,38569,3152.6,5504,2920,5371
西藏自治区,2017,349,40.88,999,278,427,165,329
陕西省,2017,3904,549.51,58580,4223.3,5578,1561,5819
甘肃省,2017,2522,287.45,38080,830,3130,1320,2755
青海省,2017,586,99.57,5070,1120.3,1175,527,1128
宁夏回族自治区,2017,705,130.94,6518,928.7,1677,376,1569
新疆维吾尔自治区,2017,2480,363.15,23568,1176.7,5522,1660,5017
北京市,2016,2195,547.44,48040,2819.4,2784,1359,3163
天津市,2016,1443,273.69,13741,4488.8,6398,821,5912
河北省,2016,7375,1245.89,39925,5008.3,4433,2500,4919
山西省,2016,3514,526.39,18702,3975.6,5278,2131,5088
内蒙古自治区,2016,2436,418.53,10347,1402.6,3297,972,3172
辽宁省,2016,4327,659.41,59054,1849.6,4491,1954,4878
吉林省,2016,2567,352.93,27186,5326.4,6068,1843,5564
黑龙江省,2016,3463,394.19,28550,4217,3906,1140,3614
上海市,2016,2467,322.87,3402,370.8,235,760,795
江苏省,2016,8381,1427.91,113494,6390,12009,4601,13299
浙江省,2016,6072,1257.35,83033,5983,14369,4187,14791
安徽省,2016,6033,600.81,70523,6323,14852,2651,12933
福建省,2016,4016,493.64,39137,2410,9665,1888,8867
江西省,2016,4496,399.29,53366,5425.6,5207,2102,4932
山东省,2016,9973,1723.34,48823,6276.9,12573,3614,13163
河南省,2016,9778,1104.47,106415,4376.1,5383,1950,5825
