城市名,县区名,年份,城乡养老保险参保万人,城乡养老保险缴费万人,城乡养老保险离退休万人,城乡养老保险缴费万元,城乡养老保险支出万元,企业养老保险参保万人,企业养老保险缴费万人,企业养老保险离退休万人,企业养老保险缴费万元,企业养老保险支出万元,机关养老保险参保人数,机关养老保险缴费人数,机关养老保险离退休人数,机关养老保险缴费万元,机关养老保险支出万元,所属省份
菏泽市,成武县,2019,32.0982,,,6294.1,16684.57,4.3,,,25700,24000,18750,,,40000,37400,山东省
菏泽市,成武县,2018,18.38,,,6122.59,,4.15,,,20500,,18500,,,29400,,山东省
菏泽市,成武县,2017,31.94,,,6078.45,13100,3.78,,,19500,18700,17600,,,30000,29600,山东省
菏泽市,定陶区,2022,,,,,,4.3341,,,28200,,15289,,,39200,,山东省
菏泽市,定陶区,2021,,,,,,4.15,,,28200,,15273,,,43600,,山东省
菏泽市,定陶区,2020,,,,,,3.77,,,16000,,14998,,,36600,,山东省
菏泽市,定陶区,2019,,,,,,3.4309,,,24500,,14706,,,38000,,山东省
菏泽市,定陶区,2018,,,,,,3.2326,,,35100,,15600,,,31848,,山东省
菏泽市,牡丹区,2023,42.1,22.1,16.3,39249,35593,11.6,3.4815,3.0498,181724,182819,,,,84901,84799,山东省
菏泽市,牡丹区,2022,41.51,21.1,15.6,35737,32094,11.9,5.65,2.835,150235,151716,,,,74780,76874,山东省
菏泽市,牡丹区,2021,39.7,20.35,14.9,39085,28058,11.6,8.9,2.27,137237,139283,,,,70079,72068,山东省
菏泽市,牡丹区,2020,38.72,23.98,14.74,32626,25765,13.28,11.09,2.18,123665,122919,37800,26900,10900,71358,66429,山东省
菏泽市,郓城县,2022,66.34,,,,,9.07,,,,,33500,,,,,山东省
菏泽市,郓城县,2021,65.27,,,,,8.74,,,,,33400,,,,,山东省
菏泽市,郓城县,2020,64.7,,,,,6.2,,,,,33000,,,,,山东省
衡阳市,常宁市,2021,53.5,43.7,9.8,,15300,9.3439,4.8765,4.4674,,95000,40388,31385,9003,,46000,湖南省
衡阳市,祁东县,2023,52.14,,,,,12.05,,,,,26400,,,,,湖南省
衡阳市,祁东县,2022,38.38,,,,,6.01,,,,,16500,,,,,湖南省
衡阳市,祁东县,2021,53.81,,,,,10.98,,,,,29000,,,,,湖南省
衡阳市,祁东县,2020,54.12,,,,,10.06,,,,,27000,,,,,湖南省
红河哈尼族彝族自治州,红河县,2021,17.3461,,,,,0.6714,,,,,9317,,,,,云南省
红河哈尼族彝族自治州,红河县,2020,17.2014,,,,,0.5627,,,,,7542,,,,,云南省
呼伦贝尔市,阿荣旗,2023,13.8062,,,3063.99,,5.279,,,30984.05,,11114,,,13426.48,,内蒙古自治区
呼伦贝尔市,阿荣旗,2022,13.6203,,,,,4.9812,,,,,10851,,,,,内蒙古自治区
呼伦贝尔市,阿荣旗,2021,13.5951,,,2581.75,,4.0031,,,21477,,10632,,,12022,,内蒙古自治区
呼伦贝尔市,阿荣旗,2020,13.0905,,,2236.7,,1.8599,,,16251,,10424,,,12338,,内蒙古自治区
呼伦贝尔市,海拉尔区,2023,1.9746,,,,,9.614,,,,,12234,,,,,内蒙古自治区
呼伦贝尔市,海拉尔区,2022,1.659,,,,,9.233,,,,,11926,,,,,内蒙古自治区
呼伦贝尔市,海拉尔区,2021,2.2658,,,,,8.1216,,,,,11784,,,,,内蒙古自治区
呼伦贝尔市,海拉尔区,2020,2.2545,,,,,4.4054,,,,,6507,,,,,内蒙古自治区
呼伦贝尔市,满洲里市,2021,0.35,,,,,6.3,,,,,12000,,,,,内蒙古自治区
呼伦贝尔市,牙克石市,2023,2.2445,1.7301,0.5144,2461.46,1243,14.4035,6.1791,8.2244,58125,292066,15972,8413,7559,19051.71,52814.11,内蒙古自治区
呼伦贝尔市,牙克石市,2022,2.1988,1.6942,0.5046,1458.52,1099.16,13.7407,5.6365,8.1042,53656,271820,15761,8624,7137,20046.06,47225.56,内蒙古自治区
呼伦贝尔市,牙克石市,2021,2.1982,1.7004,0.4978,2133.8,1039.6,13.6494,5.9721,7.6773,47526.5,249291,15907,9083,6824,12273,42984,内蒙古自治区
呼伦贝尔市,牙克石市,2020,1.9346,1.3974,0.5372,1949.7,680.61,13.4383,5.9383,7.41,26935,191788,15752,9225,6527,32869.5,32860.82,内蒙古自治区
